Species,Sp #,Metapodial,L or R,Locality (Pit #),,Max Length,Condyle Width,Facet Width,Min Depth
B. antiquus,Y2402,Metatarsal,R,3,18,271,73,58,35
B. antiquus,Y2388,Metatarsal,R,3,18,270,72,62,34
B. antiquus,Y2271,Metatarsal,L,3,18,274,80,67,37
B. antiquus,Y2274,Metatarsal,L,3,18,270,73,57,35
B. antiquus,Y2278,Metatarsal,L,3,18,275,71,60,37
B. antiquus,Y2295,Metatarsal,L,3,18,277,77,64,37
B. antiquus,Y2312,Metatarsal,L,3,18,279,82,70,37
B. antiquus,Y2294,Metatarsal,L,3,18,271,71,61,35
B. antiquus,Y2279,Metatarsal,L,3,18,261,74,61,34
B. antiquus,Y2322,Metatarsal,L,3,18,279,74,60,36
B. antiquus,Y2300,Metatarsal,L,3,18,267,73,60,36
B. antiquus,Y2297,Metatarsal,L,3,18,267,74,61,36
B. antiquus,Y2317,Metatarsal,L,3,18,284,78,65,40
B. antiquus,Y2306,Metatarsal,L,3,18,274,85,70,41
B. antiquus,Y2314,Metatarsal ,L,3,18,271,73,68,36
B. antiquus,Y2273,Metatarsal,L,3,18,261,70,61,36
B. antiquus,Y2287,Metatarsal,L,3,18,266,73,63,34
B. antiquus,Y2283,Metatarsal,L,3,18,279,77,63,36
B. antiquus,Y2296,Metatarsal,L,3,18,273,71,62,37
B. antiquus,Y2276,Metatarsal,L,3,18,273,71,62,36
B. antiquus,Y2272,Metatarsal,L,3,18,293,84,65,37
B. antiquus,Y2313,Metatarsal,L,60,21,273,71,57,39.9
B. antiquus,Y2288,Metatarsal,L,60,21,265,72,63,39.6
B. antiquus,Y2309,Metatarsal,L,60,21,278,71,61,39.1
B. antiquus,Y2310,Metatarsal,L,60,21,286,85,73,48.2
B. antiquus,Y2382,Metatarsal,R,60,21,265,72,60,40.9
B. antiquus,Y5616,Metatarsal ,R,60,21,271,75,59,41.1
B. antiquus,Y2291,Metatarsal,L,16,26,281,72,63,39.2
B. antiquus,Y5621,Metatarsal,R,16,26,281,74,66,43.4
B. antiquus,Y2315,Metatarsal,L,16,26,269,68,59,36.2
B. antiquus,Y2394,Metatarsal,R,77,35,273,71,58,35
B. antiquus,Y2387,Metatarsal,R,77,35,263,68,57,34
B. antiquus,LACMHC 24006,Metatarsal,R,77,35,264,70,53,35
B. antiquus,Y2299,Metatarsal,L,77,35,274,70,57,34
B. antiquus,Y2308,Metatarsal,L,77,35,276,71,60,36
B. antiquus,Y2299,Metatarsal,L,77,35,274,70,56,35
B. antiquus,Y2565,Metatarsal,L,Academy,Column1,269,79,71,41.8
B. latifrons,LACMHC 67046,Metacarpal,,4 or 9,,255,98,95,42.4
B. latifrons,LACMHC 67047,Metacarpal,,4 or 9,,251,99,94,40.8
B. antiquus,LACMHC 24008,Metatarsal,L (juv),Academy,,221,65,56,33.4
B. antiquus,Y2249,Metatarsal,L (juv),Academy,,223,63,58,33.5
B. antiquus,Y2370,Metatarsal,R (juv),Academy,,222,64,55,34.4
B. antiquus,Y5615,Metatarsal,L,Academy,,269,73,60,38.3
B. antiquus,LACMHC 24007,Metatarsal,L,Academy,,263,69,60,38.4
B. antiquus,Y2311,Metatarsal,L,Academy,,268,74,62,37.9
B. antiquus,Bliss29,Metatarsal,L,6909,,272,70,59,39.8
