Institution,SpecNo,Taxon,Element,SampleNo,Pit,Uncal14CYBP,Uncal14CSE,Source,Quality
LACM,HC-Y2421,Bison antiquus,metacarpal,148049,67,12300,60,O'Keefe et al. (2023),
LACM,HC-Z4360,Equus occidentalis,phalanx,148056,3,12595,50,O'Keefe et al. (2023),
LACM,HC 6456E ,Dicheirus dilatatus,,167034,A,205,20,Holden et al. (2017),Chitin
LACM,HC 6457E,Dicheirus dilatatus,,167035,A,2165,25,Holden et al. (2017),Chitin
LACM,HC 6458E ,Dicheirus dilatatus,,167036,A,320,20,Holden et al. (2017),Chitin
LACM,HC 6459E,Dicheirus dilatatus,,167037,A,570,20,Holden et al. (2017),Chitin
LACM,HC 6460E ,Dicheirus dilatatus,,167038,A,290,20,Holden et al. (2017),Chitin
LACM,HC 6461E,Dicheirus dilatatus,,167039,A,320,25,Holden et al. (2017),Chitin
LACM,HC 6462E ,Dicheirus dilatatus,,167040,A,305,20,Holden et al. (2017),Chitin
LACM,HC 6463E ,Dicheirus dilatatus,,167041,A,650,20,Holden et al. (2017),Chitin
LACM,HC 6464E ,Dicheirus dilatatus,,167042,A,565,20,Holden et al. (2017),Chitin
LACM,HC 6912E ,Dicheirus dilatatus,,167046,A,2755,20,Holden et al. (2017),Chitin
LACM,RLP 15181E ,Dicheirus dilatatus,,167057,91,135,30,Holden et al. (2017),Chitin
LACM,RLP 15151E ,Dicheirus dilatatus,,167060,91,180,20,Holden et al. (2017),Chitin
LACM,RLP 15180E ,Dicheirus dilatatus,,167061,91,9480,45,Holden et al. (2017),Chitin
LACM,RLP 15194E ,Dicheirus dilatatus,,167062,91,9765,35,Holden et al. (2017),Chitin
LACM,RLP 15147E ,Dicheirus dilatatus,,167063,91,230,25,Holden et al. (2017),Chitin
LACM,RLP 15185E ,Dicheirus dilatatus,,167065,91,36580,960,Holden et al. (2017),Chitin
LACM,RLP 15184E ,Dicheirus dilatatus,,167066,91,39200,1700,Holden et al. (2017),Chitin
LACM,RLP 15112E ,Dicheirus dilatatus,,167067,91,40900,3800,Holden et al. (2017),Chitin
LACM,RLP 2214E ,Dicheirus dilatatus,,167068,91,24880,230,Holden et al. (2017),Chitin
LACM,RLP 15108E,Dicheirus dilatatus,,167072,91,25950,280,Holden et al. (2017),Chitin
LACM,RLP 15109E ,Dicheirus dilatatus,,167073,91,25870,610,Holden et al. (2017),Chitin
LACM,P23 24973 ,Dicheirus dilatatus,,167074,P23-5B,43800,1800,Holden et al. (2017),Chitin
LACM,HC 6447E ,Dicheirus dilatatus,,169848,A,500,15,Holden et al. (2017),Chitin
LACM,HC 6448E ,Dicheirus dilatatus,,169849,A,710,15,Holden et al. (2017),Chitin
LACM,HC 6449E,Dicheirus dilatatus,,169850,A,340,15,Holden et al. (2017),Chitin
LACM,HC 7121E,Dicheirus dilatatus,,169852,A,545,15,Holden et al. (2017),Chitin
LACM,HC 7122E,Dicheirus dilatatus,,169853,A,535,15,Holden et al. (2017),Chitin
LACM,HC 15111E,Dicheirus dilatatus,,169874,A,430,15,Holden et al. (2017),Chitin
LACM,HC 8496E ,Dicheirus dilatatus,,169875,B,565,15,Holden et al. (2017),Chitin
LACM,RLP 15204E ,Dicheirus dilatatus,,169884,91,40300,1900,Holden et al. (2017),Chitin
LACM,RLP 15210E,Dicheirus dilatatus,,169885,91,38600,2800,Holden et al. (2017),Chitin
LACM,RLP 15216E ,Dicheirus dilatatus,,169889,91,35700,2400,Holden et al. (2017),Chitin
LACM,RLP 15222E ,Dicheirus dilatatus,,169890,91,>28200,,Holden et al. (2017),Chitin
LACM,RLP 15224E,Dicheirus dilatatus,,170072,91,38600,1300,Holden et al. (2017),Chitin
LACM,RLP 15227E ,Dicheirus dilatatus,,170073,91,38900,1600,Holden et al. (2017),Chitin
LACM,RLP 15114E,Dicheirus dilatatus,,170074,91,9510,160,Holden et al. (2017),Chitin
LACM,RLP 15186E ,Dicheirus dilatatus,,170088,91,10730,160,Holden et al. (2017),Chitin
LACM,RLP 15165E ,Dicheirus dilatatus,,170090,91,230,25,Holden et al. (2017),Chitin
LACM,RLP 15170E ,Dicheirus dilatatus,,170091,91,10310,60,Holden et al. (2017),Chitin
LACM,RLP 15171E ,Dicheirus dilatatus,,170092,91,1275,30,Holden et al. (2017),Chitin
LACM,RLP 15187E ,Dicheirus dilatatus,,170096,91,350,30,Holden et al. (2017),Chitin
LACM,RLP 15178E ,Dicheirus dilatatus,,170109,91,>31100,,Holden et al. (2017),Chitin
LACM,RLP 15179E ,Dicheirus dilatatus,,170110,91,>31900,,Holden et al. (2017),Chitin
LACM,RLP 669E ,Dicheirus dilatatus,,170111,91,10020,210,Holden et al. (2017),Chitin
LACM,RLP 15173E,Dicheirus dilatatus,,170112,91,10010,210,Holden et al. (2017),Chitin
LACM,RLP 15174E ,Dicheirus dilatatus,,170113,91,10120,140,Holden et al. (2017),Chitin
LACM,RLP 15195E,Dicheirus dilatatus,,170114,91,11840,90,Holden et al. (2017),Chitin
LACM,RLP 15263E,Dicheirus dilatatus,,170736,91,39100,3200,Holden et al. (2017),Chitin
LACM,RLP 15264E ,Dicheirus dilatatus,,170737,91,39900,1900,Holden et al. (2017),Chitin
LACM,RLP 476E ,Dicheirus dilatatus,,170738,91,39100,2000,Holden et al. (2017),Chitin
LACM,RLP 15101E,Dicheirus dilatatus,,170740,91,10015,45,Holden et al. (2017),Chitin
LACM,RLP 15100E ,Dicheirus dilatatus,,170743,91,>24500,,Holden et al. (2017),Chitin
LACM,RLP 15200E,Dicheirus dilatatus,,170744,91,33800,2200,Holden et al. (2017),Chitin
LACM,RLP 15087E ,Dicheirus dilatatus,,170745,91,10070,310,Holden et al. (2017),Chitin
LACM,RLP 15091E ,Dicheirus dilatatus,,170746,91,10510,760,Holden et al. (2017),Chitin
LACM,RLP 15095E,Dicheirus dilatatus,,170747,91,10060,70,Holden et al. (2017),Chitin
LACM,RLP 15099E ,Dicheirus dilatatus,,170748,91,11080,330,Holden et al. (2017),Chitin
LACM,P23 25167 ,Dicheirus dilatatus,,170754,P23-1,33500,2300,Holden et al. (2017),Chitin
LACM,P23 24960 ,Dicheirus dilatatus,,170756,P23-5B,>24900,,Holden et al. (2017),Chitin
LACM,P23 24968 ,Dicheirus dilatatus,,170763,P23-5B,>41100,,Holden et al. (2017),Chitin
LACM,P23 24971,Dicheirus dilatatus,,170764,P23-5B,>35000,,Holden et al. (2017),Chitin
LACM,P23 25072,Dicheirus dilatatus,,170765,P23-5B,>36400,,Holden et al. (2017),Chitin
LACM,P23 25073 ,Dicheirus dilatatus,,170766,P23-5B,>32100,,Holden et al. (2017),Chitin
LACM,HC-35350,Smilodon fatalis,radius,180741,3,12500,35,O'Keefe et al. (2023),
LACM,HC-35352,Smilodon fatalis,radius,180742,3,12970,35,O'Keefe et al. (2023),
LACM,HC-W589,Canis latrans,femur,181074,67,11770,30,O'Keefe et al. (2023),
LACM,HC-H1865,Canis dirus,tibia,182907,61,11895,30,O'Keefe et al. (2023),
LACM,HC-35905,Smilodon fatalis,radius,182908,67,11570,30,O'Keefe et al. (2023),
LACM,HC-142020,Camelops hesternus,R humerus,182909,67,12250,30,O'Keefe et al. (2023),
LACM,HC-142021,Camelops hesternus,R humerus,182910,67,12540,35,O'Keefe et al. (2023),
LACM,HC-142022,Camelops hesternus,R humerus,182911,67,12495,35,O'Keefe et al. (2023),
LACM,HC-142023,Camelops hesternus,R humerus,182912,67,12630,35,O'Keefe et al. (2023),
LACM,HC-Z1279,Camelops hesternus,metatarsal,182913,61,12460,30,O'Keefe et al. (2023),
LACM,HC-Z1268,Camelops hesternus,metatarsal,182914,61,12230,30,O'Keefe et al. (2023),
LACM,HC-35847,Smilodon fatalis,radius,182916,61,11350,80,O'Keefe et al. (2023),
LACM,HC-35907,Smilodon fatalis,radius,182917,67,11440,35,O'Keefe et al. (2023),
LACM,HC-Z4636,Equus occidentalis,metatarsal,184037,67,11765,35,O'Keefe et al. (2023),
LACM,HC-Y2432,Bison antiquus,metacarpal,184038,67,12115,40,O'Keefe et al. (2023),
LACM,HC-27447,Equus occidentalis,femur,184043,67,12270,35,O'Keefe et al. (2023),
LACM,HC-27448,Equus occidentalis,femur,184473,67,12060,30,O'Keefe et al. (2023),
LACM,HC-64492,Bison antiquus,humerus,184637,67,11625,30,O'Keefe et al. (2023),
LACM,HC-64493,Bison antiquus,humerus,184638,67,12140,30,O'Keefe et al. (2023),
LACM,HC-64494,Bison antiquus,humerus,184639,67,12375,30,O'Keefe et al. (2023),
LACM,HC-64496,Bison antiquus,humerus,184640,67,11935,30,O'Keefe et al. (2023),
LACM,HC-64495,Bison antiquus,humerus,184666,67,12055,30,O'Keefe et al. (2023),
LACM,P23-5233,Sylvilagus,,191095,P23-1,35750,610,Fox et al. (2023),
LACM,P23-18270,Sylvilagus,,191096,P23-1,35440,580,Fox et al. (2023),
LACM,P23-22009,Sylvilagus,,191097,P23-1,35150,580,Fox et al. (2023),
LACM,P23-25476,Sylvilagus,,191098,P23-1,36050,630,Fox et al. (2023),
LACM,P23-28903,Sylvilagus,,191099,P23-1,33830,480,Fox et al. (2023),
LACM,P23-30238,Sylvilagus,,191100,P23-1,35780,600,Fox et al. (2023),
LACM,P23-31269,Sylvilagus,,191101,P23-1,46200,2200,Fox et al. (2023),
LACM,P23-31423,Sylvilagus,,191102,P23-1,35420,580,Fox et al. (2023),
LACM,P23-31033,Sylvilagus,,191103,P23-14,>47800,,Fox et al. (2023),
LACM,P23-31036,Sylvilagus,,191104,P23-14,>49900,,Fox et al. (2023),
LACM,P23-31056,Sylvilagus,,191105,P23-14,>49900,,Fox et al. (2023),
LACM,P23-31031,Sylvilagus,,191242,P23-14,>50800,,Fox et al. (2023),
LACM,P23-2046,Canis latrans,,198199,P23-1,35770,550,Fox et al. (2023),
LACM,P23-11485,Canis latrans,,198200,P23-1,35050,510,Fox et al. (2023),
LACM,P23-17139,Otospermophilus,,198201,P23-1,32500,370,Fox et al. (2023),
LACM,P23-20172,Otospermophilus,,198202,P23-1,35900,560,Fox et al. (2023),
LACM,P23-26592,Otospermophilus,,198203,P23-1,33100,620,Fox et al. (2023),
LACM,P23-30796,Otospermophilus,,198204,P23-1,36160,910,Fox et al. (2023),
LACM,P23-33227,Otospermophilus,,198205,P23-1,36580,610,Fox et al. (2023),
LACM,P23-33229,Otospermophilus,,198207,P23-1,31830,340,Fox et al. (2023),
LACM,P23-33233,Neotoma,,198208,P23-14,25620,160,Fox et al. (2023),
LACM,P23-28902,Sylvilagus,,198294,P23-1,39700,810,Fox et al. (2023),
LACM,P23-31113,Otospermophilus,,198295,P23-14,33070,350,Fox et al. (2023),
LACM,P23-31118,Otospermophilus,,198296,P23-14,47400,2000,Fox et al. (2023),
LACM,P23-33232,Thomomys,,198297,P23-14,28600,210,Fox et al. (2023),
LACM,P23-33235,Otospermophilus,,198298,P23-14,26310,150,Fox et al. (2023),
LACM,P23-33228,Otospermophilus,,198302,P23-1,30870,270,Fox et al. (2023),
LACM,P23-28757,Capromeryx minor,Tibia L,199128,P23-1,35590,730,Fuller et al. (2020),
LACM,HC-3201-R-2,Canis latrans,dentary,207018,61,12430,35,O'Keefe et al. (2023),
LACM,HC-6191,Canis latrans,dentary,207021,61,9665,25,O'Keefe et al. (2023),
LACM,HC-57347,Canis latrans,dentary,207054,61,9765,25,O'Keefe et al. (2023),
LACM,HC-57349,Canis latrans,dentary,207056,61,12440,45,O'Keefe et al. (2023),
LACM,HC-57350,Canis latrans,dentary,207057,61,9515,25,O'Keefe et al. (2023),
LACM,HC-57352,Canis latrans,dentary,207058,61,10535,25,O'Keefe et al. (2023),
LACM,HC-6172,Canis latrans,dentary,209412,3,12650,35,O'Keefe et al. (2023),
LACM,HC-6201,Canis latrans,dentary,209413,67,11190,25,O'Keefe et al. (2023),
LACM,HC-56859,Canis latrans,dentary,209424,3,12540,30,O'Keefe et al. (2023),
LACM,HC-57389,Canis latrans,dentary,209428,67,12075,30,O'Keefe et al. (2023),
LACM,HC-57391,Canis latrans,dentary,209433,67,11390,30,O'Keefe et al. (2023),
LACM,HC-57392,Canis latrans,dentary,209434,67,11880,30,O'Keefe et al. (2023),
LACM,HC-57401,Canis latrans,dentary,209435,67,11635,30,O'Keefe et al. (2023),
LACM,HC-6243,Canis latrans,dentary,209641,67,11360,25,O'Keefe et al. (2023),
LACM,HC-57388,Canis latrans,dentary,209642,67,12120,50,O'Keefe et al. (2023),
LACM,HC-56860,Canis latrans,dentary,211035,3,11915,30,O'Keefe et al. (2023),
LACM,HC-56861,Canis latrans,dentary,211036,3,12550,35,O'Keefe et al. (2023),
LACM,HC-57015,Canis latrans,dentary,212472,10,9215,25,O'Keefe et al. (2023),
LACM,HC-57023,Canis latrans,dentary,212474,10,10280,25,O'Keefe et al. (2023),
LACM,HC-2002-L-544,Smilodon fatalis,dentary,212476,67,12100,30,O'Keefe et al. (2023),
LACM,HC-2002-L-585,Smilodon fatalis,dentary,212477,61,12480,30,O'Keefe et al. (2023),
LACM,HC-2002-L-611,Smilodon fatalis,dentary,212478,61,11090,30,O'Keefe et al. (2023),
LACM,HC-2002-L-624,Smilodon fatalis,dentary,212479,61,11755,30,O'Keefe et al. (2023),
LACM,HC-2002-L-693,Smilodon fatalis,dentary,212480,61,11200,30,O'Keefe et al. (2023),
LACM,HC-2002-L-694,Smilodon fatalis,dentary,212481,61,11385,25,O'Keefe et al. (2023),
LACM,HC-2002-L-834,Smilodon fatalis,dentary,212482,67,12395,30,O'Keefe et al. (2023),
LACM,HC-2002-L-842,Smilodon fatalis,dentary,212483,67,12395,30,O'Keefe et al. (2023),
LACM,HC-29702,Smilodon fatalis,dentary,212486,61,12370,35,O'Keefe et al. (2023),
LACM,HC-29754,Smilodon fatalis,dentary,212487,67,11130,25,O'Keefe et al. (2023),
LACM,HC-2002-L-863,Smilodon fatalis,dentary,212493,67,11545,30,O'Keefe et al. (2023),
LACM,HC-6469,Bison antiquus,dentary,214086,61,12190,30,O'Keefe et al. (2023),
LACM,HC-6470,Bison antiquus,dentary,214087,61,11575,30,O'Keefe et al. (2023),
LACM,HC-6612,Bison antiquus,dentary,214088,67,12000,30,O'Keefe et al. (2023),
LACM,HC-6690,Bison antiquus,dentary,214089,61,12435,30,O'Keefe et al. (2023),
LACM,HC-6691,Bison antiquus,dentary,214090,61,11675,30,O'Keefe et al. (2023),
LACM,HC-6697,Bison antiquus,dentary,214091,67,12140,30,O'Keefe et al. (2023),
LACM,HC-6771,Bison antiquus,dentary,214092,61,12100,30,O'Keefe et al. (2023),
LACM,HC-6775,Bison antiquus,dentary,214093,61,11260,30,O'Keefe et al. (2023),
LACM,HC-6778,Bison antiquus,dentary,214094,67,12200,30,O'Keefe et al. (2023),
LACM,HC-Z260,Bison antiquus,dentary,214095,67,12470,30,O'Keefe et al. (2023),
LACM,HC-2301-L-15,Canis dirus,dentary,214096,61,11720,30,O'Keefe et al. (2023),
LACM,HC-2301-L-23,Canis dirus,dentary,214097,61,12385,30,O'Keefe et al. (2023),
LACM,HC-2301-L-48,Canis dirus,dentary,214098,61,11475,30,O'Keefe et al. (2023),
LACM,HC-2301-L-57,Canis dirus,dentary,214099,61,12355,35,O'Keefe et al. (2023),
LACM,HC-2301-L-66,Canis dirus,dentary,214100,61,12470,30,O'Keefe et al. (2023),
LACM,HC-2301-L-182,Canis dirus,dentary,214101,61,11195,30,O'Keefe et al. (2023),
LACM,HC-2301-L-483,Canis dirus,dentary,214102,61,11135,30,O'Keefe et al. (2023),
LACM,HC-2301-L-516,Canis dirus,dentary,214103,67,12485,30,O'Keefe et al. (2023),
LACM,HC-2301-L-538,Canis dirus,dentary,214104,61,12500,30,O'Keefe et al. (2023),
LACM,HC-55509,Canis dirus,dentary,214105,61,11695,30,O'Keefe et al. (2023),
LACM,HC-55510,Canis dirus,dentary,214109,61,11535,40,O'Keefe et al. (2023),
LACM,HC-55511,Canis dirus,dentary,214110,61,12130,30,O'Keefe et al. (2023),
LACM,HC-55512,Canis dirus,dentary,214111,61,12550,30,O'Keefe et al. (2023),
LACM,HC-55700,Canis dirus,dentary,214112,67,11415,30,O'Keefe et al. (2023),
LACM,HC-55710,Canis dirus,dentary,214113,67,11450,35,O'Keefe et al. (2023),
LACM,HC-55719,Canis dirus,dentary,214114,67,12105,30,O'Keefe et al. (2023),
LACM,HC-55720,Canis dirus,dentary,214115,67,11920,30,O'Keefe et al. (2023),
LACM,HC-141914,Canis dirus,dentary,214116,61,11725,30,O'Keefe et al. (2023),
LACM,HC-6822,Equus occidentalis,dentary,214117,67,11345,30,O'Keefe et al. (2023),
LACM,HC-7047,Equus occidentalis,dentary,214119,67,11100,30,O'Keefe et al. (2023),
LACM,HC-7066,Equus occidentalis,dentary,214120,67,12445,30,O'Keefe et al. (2023),
LACM,HC-21290,Equus occidentalis,dentary,214122,61,12165,35,O'Keefe et al. (2023),
LACM,HC-21295,Equus occidentalis,dentary,214123,67,12070,30,O'Keefe et al. (2023),
LACM,HC-21313,Equus occidentalis,dentary,214124,67,12125,30,O'Keefe et al. (2023),
LACM,HC-21321,Equus occidentalis,dentary,214125,67,11575,35,O'Keefe et al. (2023),
LACM,HC-Z5301,Equus occidentalis,dentary,214126,67,11430,35,O'Keefe et al. (2023),
LACM,HC-6727,Bison antiquus,dentary,215757,3,12930,30,O'Keefe et al. (2023),
LACM,HC-2301-L-224,Canis dirus,dentary,215767,3,12245,30,O'Keefe et al. (2023),
LACM,HC-2301-L-478,Canis dirus,dentary,215771,3,12990,30,O'Keefe et al. (2023),
LACM,HC-2301-L-506,Canis dirus,dentary,215773,3,12685,30,O'Keefe et al. (2023),
