Cat#,Pit,Age,MaxLength,MidW,MidD,,,
D2019,3,18,97,11.5,10,115,18,1.18556701
D2475,3,18,96,12,9.2,110.4,18,1.15
D2071,3,18,88,11,9.5,104.5,18,1.1875
D1990,3,18,88,9.9,9.8,97.02,18,1.1025
D2844,3,18,87.7,12.1,9.5,114.95,18,1.310718358
D2844,3,18,86.7,11.8,9.1,107.38,18,1.238523645
D2947,3,18,88,10.6,9.5,100.7,18,1.144318182
D1987,3,18,88.5,10,9.3,93,18,1.050847458
D3002,3,18,90.5,11.5,9.8,112.7,18,1.245303867
G2761,3,18,91.5,11.3,9,101.7,18,1.11147541
D2497,3,18,96.5,13,10.5,136.5,18,1.414507772
D1870,3,18,93.2,13.5,11,148.5,18,1.593347639
D1945,3,18,89.7,9.9,9.7,96.03,18,1.070568562
D2531,3,18,98.2,11.8,9.8,115.64,18,1.177596741
D4271,60,21,91,13,10,130,21,1.428571429
D3816,60,21,94,10.5,9,94.5,21,1.005319149
D3744,60,21,98,13,11,143,21,1.459183673
D3620,60,21,93,11,10,110,21,1.182795699
D4137,60,21,93.7,12.3,11.7,143.91,21,1.535859125
D4655,60,21,93.4,13.1,10.8,141.48,21,1.514775161
D4037,60,21,94.7,13.2,10.2,134.64,21,1.421752904
D4281,60,21,94.7,11.3,10,113,21,1.193241816
K5898,98,29,98.3,11.7,9.2,107.64,29,1.095015259
K5828,98,29,92.7,13.6,9.3,126.48,29,1.364401294
K5838,98,29,98.2,12.1,9,108.9,29,1.108961303
K5833,98,29,88.5,10.9,8.1,88.29,29,0.997627119
K5840,98,29,96.6,12.1,10.1,122.21,29,1.265113872
K5830,98,29,102.2,11.9,10.4,123.76,29,1.210958904
D6891,77,35,90.5,10.5,9.5,99.75,35,1.102209945
D6754,77,35,86.5,10.7,9,96.3,35,1.113294798
D6844,77,35,99,14.5,10.5,152.25,35,1.537878788
,,21,93.97142857,,,,9,1.063927438
,,35,92,,,,35,1.251127843
,,29,96.08333333,,,,29,1.173679625
,,18,92.60526316,,,,21,1.342687369
,,16,94.4915493,,,,18,1.294798188
,,14,92.51555556,,,,16,1.339248832
,,9,90.54,,,,14,1.219382317
,,11,91.2,,,,11,1.292390241
