"catno","pit","l1","l2","l3","l4","l5","l6"
NA,"3",44,53,34,21,40,30
NA,"3",44,50,31,22,40,27
NA,"3",42,48,26,18,35,25
NA,"3",43,54,32,23,40,26
NA,"3",45,53,35,25,42,31
NA,"3",40,50,32,21,38,25
NA,"3",45,52,32,22,38,26
NA,"3",42,50,32,23,35,26
NA,"3",48,54,37,22,42,29
NA,"3",47,56,33,21,43,30
NA,"3",43,53,34,22,45,28
NA,"3",41,46,30,17,38,26
NA,"3",42,50,33,25,38,28
NA,"3",43,49,32,22,36,25
NA,"3",38,45,29,22,35,25
NA,"3",43,50,30,20,37,24
NA,"3",42,50,31,20,38,26
NA,"3",44,49,32,20,39,27
NA,"3",43,49,33,21,38,28
NA,"3",43,50,31,19,39,25
NA,"3",39,51,31,21,37,26
NA,"3",44,53,33,21,43,29
NA,"3",41,49,29,19,38,24
NA,"3",41,51,33,24,40,25
NA,"3",44,58,36,24,41,31
NA,"3",43,54,34,21,46,30
NA,"3",42,52,31,23,39,28
NA,"3",42,51,32,22,40,28
NA,"3",39,47,28,19,33,24
NA,"3",42,56,33,26,41,26
NA,"3",44,51,33,23,41,27
NA,"3",42,49,31,17,34,25
NA,"3",47,50,32,22,39,28
NA,"3",40,49,31,18,34,24
NA,"3",43,52,34,24,40,27
NA,"3",42,53,34,22,40,28
NA,"3",41,46,28,20,32,23
NA,"3",43,50,33,20,40,28
NA,"3",42,52,31,25,41,27
NA,"3",42,54,34,23,45,28
NA,"3",47,51,34,27,42,34
NA,"3",45,54,33,24,40,29
NA,"3",42,51,30,18,35,28
NA,"3",41,47,32,22,37,26
NA,"3",43,49,29,20,33,25
NA,"3",43,47,32,22,35,27
NA,"3",42,51,32,22,26,36
NA,"3",39,46,31,21,33,27
NA,"3",39,44,27,21,33,27
NA,"3",46,54,32,25,36,30
NA,"3",43,49,33,22,35,26
NA,"9",41,48,29,22,38,25
NA,"9",43,52,29,21,39,25
NA,"13",45,50,31,20,35,25
NA,"13",45,54,34,25,42,39
NA,"13",44,50,30,20,36,28
NA,"13",43,49,30,18,33,25
NA,"13",44,52,32,23,37,25
NA,"13",45,52,33,21,41,28
NA,"13",41,49,27,22,39,24
NA,"13",41,45,30,24,35,25
NA,"13",49,54,36,24,44,31
NA,"13",43,51,33,21,42,29
NA,"13",47,54,34,24,43,28
NA,"13",49,58,37,23,41,30
NA,"13",44,49,32,20,37,26
NA,"13",43,48,31,18,38,24
NA,"13",41,49,30,22,36,26
NA,"13",44,51,32,23,38,26
NA,"13",44,49,31,21,35,30
NA,"13",41,48,30,19,32,26
NA,"13",46,55,35,23,42,30
NA,"13",43,51,31,19,34,25
NA,"13",41,51,31,22,35,25
NA,"13",43,48,31,20,39,25
NA,"13",41,47,31,21,36,25
NA,"13",43,51,32,21,36,26
NA,"13",46,50,33,22,40,28
NA,"13",43,50,32,21,37,27
NA,"13",47,54,34,20,40,30
NA,"13",49,56,34,22,39,30
NA,"13",44,47,29,20,39,25
NA,"13",46,48,33,23,40,29
NA,"13",49,55,34,23,40,28
NA,"13",42,47,31,23,40,27
NA,"13",46,53,33,23,44,28
NA,"13",46,52,32,23,41,31
NA,"13",47,53,35,23,42,33
NA,"13",43,49,29,19,36,25
NA,"13",46,53,32,22,36,27
NA,"13",46,52,33,21,40,29
NA,"13",40,43,26,20,33,23
NA,"13",43,48,31,20,38,26
NA,"13",49,54,32,23,44,32
NA,"13",42,56,33,24,42,30
NA,"13",42,47,28,19,31,23
NA,"13",43,53,35,22,42,31
NA,"13",43,52,33,23,37,27
NA,"13",47,51,32,23,40,29
NA,"13",45,50,31,20,35,28
NA,"13",44,52,34,20,37,26
NA,"13",44,47,32,24,36,29
NA,"13",45,51,33,25,40,30
NA,"13",46,53,33,21,36,28
NA,"17",43,53,33,23,36,27
NA,"17",40,50,29,22,33,27
NA,"17",47,54,34,22,40,28
NA,"17",41,49,32,22,35,27
NA,"57",43,53,34,23,43,27
NA,"57",45,54,35,26,40,29
NA,"60",46,57,34,22,40,30
NA,"60",44,54,32,23,38,26
NA,"60",44,51,31,21,37,26
NA,"60",44,51,33,21,35,28
NA,"60",44,50,31,19,37,26
NA,"60",40,48,29,18,36,24
NA,"60",45,53,30,21,37,26
NA,"60",42,53,32,22,40,27
NA,"60",42,47,31,20,37,24
NA,"60",42,52,29,20,36,28
NA,"60",43,52,33,22,36,25
NA,"60",43,51,31,19,37,26
NA,"60",46,54,32,21,36,26
NA,"60",41,48,30,19,37,26
NA,"60",41,46,30,18,34,25
NA,"60",45,49,31,22,36,25
NA,"60",42,47,29,20,36,26
NA,"60",46,52,34,18,36,27
NA,"60",39,43,28,20,33,23
NA,"60",42,48,29,20,38,27
NA,"60",47,54,35,22,42,30
NA,"60",42,52,30,21,40,28
NA,"60",42,49,30,21,34,23
NA,"60",43,48,30,20,35,23
NA,"60",39,47,30,20,34,26
NA,"60",43,53,34,22,42,26
NA,"60",43,48,29,20,38,26
NA,"60",40,47,29,20,34,27
NA,"60",42,50,30,21,32,22
NA,"60",41,50,28,23,32,22
NA,"61",47,51,31,28,40,29
NA,"61",44,52,32,22,40,29
NA,"61",40,49,30,22,37,25
NA,"61",42,50,32,22,39,26
NA,"61",44,51,33,21,37,27
NA,"61",44,53,31,21,38,28
NA,"61",47,55,32,23,38,29
NA,"61",44,51,31,22,38,27
NA,"61",43,49,32,23,40,27
NA,"61",45,50,31,26,39,26
NA,"61",43,52,31,20,38,27
NA,"61",43,54,30,22,40,26
NA,"61",44,51,31,20,37,28
NA,"61",43,51,33,23,38,29
NA,"61",42,52,29,19,38,26
NA,"61",48,56,34,23,42,31
NA,"61",44,50,32,20,37,26
NA,"61",47,55,35,24,43,28
NA,"61",41,49,29,22,35,25
NA,"61",41,50,32,22,37,26
NA,"61",46,52,31,22,38,27
NA,"61",43,50,31,24,37,25
NA,"61",43,50,28,19,37,25
NA,"61",40,50,29,24,38,25
NA,"61",43,51,34,24,40,27
NA,"61",43,51,32,21,37,27
NA,"61",44,49,30,22,34,26
NA,"61",43,48,29,23,36,25
NA,"61",44,49,31,21,39,25
NA,"61",45,53,34,25,40,27
NA,"61",44,48,29,20,39,24
NA,"61",43,50,30,21,37,26
NA,"61",43,52,33,23,42,28
NA,"61",43,51,28,19,35,25
NA,"61",44,52,31,20,37,27
NA,"61",41,46,28,18,34,25
NA,"61",45,53,31,23,40,28
NA,"61",44,48,33,23,40,27
NA,"61",42,51,28,18,36,23
NA,"61",43,52,30,20,39,25
NA,"61",42,49,32,21,39,24
NA,"61",45,56,32,21,43,27
NA,"61",45,52,33,22,41,28
NA,"61",42,49,29,18,36,25
NA,"61",44,51,29,21,37,24
NA,"61",42,48,29,21,37,24
NA,"61",43,50,30,20,38,26
NA,"61",47,53,32,23,39,26
NA,"61",44,52,31,21,36,25
NA,"61",43,50,31,22,39,26
NA,"61",46,57,35,25,42,30
NA,"67",43,49,30,20,36,25
NA,"67",42,53,34,22,36,25
NA,"67",43,50,30,27,38,26
NA,"67",46,52,33,20,40,27
NA,"67",43,52,31,20,39,27
NA,"67",44,53,32,23,36,25
NA,"67",47,53,31,22,38,29
NA,"67",44,50,30,20,37,25
NA,"67",43,49,31,22,39,28
NA,"67",44,53,30,20,39,27
NA,"67",45,50,32,20,40,27
NA,"67",43,46,28,18,34,25
NA,"67",42,52,32,20,38,26
NA,"67",40,50,31,18,37,24
NA,"67",47,55,32,21,40,27
NA,"67",43,50,32,18,40,27
NA,"67",48,51,33,25,38,27
NA,"67",42,52,32,21,38,29
NA,"67",45,54,34,23,41,30
NA,"67",42,50,29,22,35,27
NA,"67",48,54,32,21,39,28
NA,"67",39,45,29,18,34,22
NA,"67",43,28,27,17,35,24
NA,"67",39,46,29,22,32,22
NA,"67",43,54,32,22,36,25
NA,"67",42,49,29,18,34,25
NA,"67",46,53,31,22,38,26
NA,"67",46,54,35,22,44,29
NA,"67",47,53,32,22,44,27
NA,"67",43,51,31,22,38,27
NA,"67",43,54,32,21,40,27
NA,"67",40,48,29,20,37,23
NA,"67",44,53,31,22,40,26
NA,"67",46,52,33,21,38,28
NA,"67",47,56,33,22,44,28
NA,"67",46,53,30,22,39,27
NA,"67",42,50,30,19,39,25
NA,"67",45,52,31,22,39,27
NA,"67",45,54,32,24,40,27
NA,"67",46,53,32,22,42,30
NA,"67",43,51,31,20,40,26
NA,"67",43,51,30,21,39,27
NA,"67",40,47,30,21,38,25
NA,"67",46,52,32,23,39,25
NA,"67",42,49,30,23,37,26
NA,"67",43,52,31,23,37,28
NA,"67",44,52,31,22,39,26
NA,"67",47,54,35,24,40,39
NA,"67",38,45,27,24,33,24
NA,"67",44,48,30,22,40,25
NA,"67",44,51,31,21,35,25
NA,"77",38,46,29,19,34,22
NA,"77",39,44,28,20,33,22
NA,"77",41,47,27,19,33,24
NA,"77",47,55,33,23,40,27
NA,"77",44,51,31,21,39,28
NA,"77",41,55,32,23,42,27
NA,"77",45,51,33,22,36,28
NA,"77",44,50,30,20,40,28
NA,"77",43,50,31,20,37,27
NA,"77",38,48,31,20,35,25
NA,"77",44,52,31,19,36,28
NA,"77",43,54,33,21,39,28
NA,"77",44,49,32,19,39,27
NA,"77",43,48,31,19,37,25
NA,"77",45,54,35,21,39,28
NA,"77",44,52,30,22,40,27
NA,"77",43,51,31,22,39,27
NA,"77",45,52,33,21,42,30
NA,"77",42,50,31,21,40,26
NA,"77",42,55,32,21,41,26
NA,"77",45,53,33,21,39,29
NA,"77",42,50,29,20,31,25
NA,"77",44,53,32,18,39,28
NA,"77",45,53,33,22,39,28
NA,"77",41,47,28,21,35,27
NA,"77",39,45,29,18,33,23
NA,"77",39,47,29,18,33,23
NA,"77",46,52,31,21,35,25
NA,"77",41,50,32,20,33,27
NA,"77",41,49,30,19,36,26
NA,"77",38,45,26,18,30,22
NA,"77",40,48,27,19,40,35
NA,"77",40,44,28,21,33,25
NA,"77",45,50,33,23,40,28
NA,"77",46,52,32,20,41,29
NA,"77",45,48,30,21,36,27
NA,"77",43,48,30,21,34,25
NA,"77",45,49,30,19,39,27
NA,"77",43,49,30,18,33,25
NA,"77",42,49,30,20,33,27
NA,"77",45,51,33,23,42,30
NA,"77",46,53,32,23,36,27
NA,"77",44,52,32,23,40,27
NA,"77",38,43,28,20,31,24
NA,"77",45,53,30,22,36,26
NA,"77",46,49,33,23,38,31
NA,"77",42,49,31,20,35,28
NA,"77",46,53,33,19,39,28
NA,"77",43,49,31,21,36,26
NA,"77",38,48,29,18,32,25
NA,"77",42,49,31,19,39,25
NA,"90",43,49,28,20,37,28
NA,"90",47,54,35,24,41,30
NA,"90",41,52,30,19,35,27
NA,"91",44,52,32,21,40,27
NA,"91",40,48,29,19,33,25
NA,"91",42,47,31,19,35,23
NA,"91",48,58,33,22,41,30
NA,"91",47,56,34,21,42,29
NA,"91",39,53,20,25,33,24
